 
File contains N, E, Z from individual ground magnetometer stations.  
The coordinate system is defined as: N is positive in the direction of local
magnetic north; E is positive in the local magnetic east direction; and Z is positive
vertical down.
 
In case data are used in publications or presentations the following text
must be used for acknowledgements:
 

For the ground magnetometer data we gratefully acknowledge:
  INTERMAGNET, Alan Thomson; CARISMA, PI Ian Mann; CANMOS, 
  Geomagnetism Unit of the Geological Survey of Canada; The S-RAMP
  Database, PI K. Yumoto and Dr. K. Shiokawa; The SPIDR database; 
  AARI, PI Oleg Troshichev; The MACCS program, PI M. Engebretson; 
  GIMA; MEASURE, UCLA IGPP and Florida Institute of Technology; 
  SAMBA, PI Eftyhia Zesta; 210 Chain, PI K. Yumoto; SAMNET, PI 
  Farideh Honary; IMAGE, PI Liisa Juusola; Finnish Meteorological 
  Institute, PI Liisa Juusola; Sodankylä Geophysical Observatory, 
  PI Tero Raita; UiT the Arctic University of Norway, Tromsø 
  Geophysical Observatory, PI Magnar G. Johnsen; GFZ German 
  Research Centre For Geosciences, PI Jürgen Matzka; Institute of 
  Geophysics, Polish Academy of Sciences, PI Anne Neska and Jan
  Reda; Polar Geophysical Institute, PI Alexander Yahnin and Yarolav
  Sakharov; Geological Survey of Sweden, PI Gerhard Schwarz; Swedish 
  Institute of Space Physics, PI Masatoshi Yamauchi; AUTUMN, PI 
  Martin Connors; DTU Space, Thom Edwards and PI Anna Willer; 
  South Pole and McMurdo Magnetometer, PI's Louis J. Lanzarotti
  and Alan T. Weatherwax; ICESTAR; RAPIDMAG; British Artarctic
  Survey; McMac, PI Dr. Peter Chi; BGS, PI Dr. Susan Macmillan; 
  Pushkov Institute of Terrestrial Magnetism, Ionosphere and Radio
  Wave Propagation (IZMIRAN);  MFGI, PI B. Heilig; Institute of 
  Geophysics, Polish Academy of Sciences, PI Anne Neska and Jan 
  Reda; University of L’Aquila, PI M. Vellante; BCMT, V. Lesur and
  A. Chambodut; Data obtained in cooperation with Geoscience 
  Australia, PI Andrew Lewis; AALPIP, co-PIs Bob Clauer and 
  Michael Hartinger; SuperMAG, PI Jesper W. Gjerloev; Data
  obtained in cooperation with the Australian Bureau of
  Meteorology, PI Richard Marshall.
 
********************************************************
*              THESE ARE NOT FINAL DATA                *
* DESPITE EXTENSIVE CLEANING NUMEROUS BUGS STILL EXIST *
*        CHECK DATA QUALITY BEFORE PUBLICATION         *
********************************************************


Comments, questions or suggestions should be directed to:
    Dr. Jesper W. Gjerloev
    Johns Hopkins University
    Applied Physics Laboratory
    11100 Johns Hopkins Road
    Laurel, Maryland 20723
    (+1) 240-228-5410
    Jesper.Gjerloev@jhuapl.edu

This file downloaded from http://supermag.jhuapl.edu on 2020-10-19T23:23:57Z
Data Revision:0005
Interval: 2000-04-06T11:45:00.000 - 2000-04-06T18:45:00.000 Step: 60 seconds
Fill/Gap Value: 999999.0
Stations Selected: ABG,MUT,GUA,HUA,MBO,BNG,BIK,ASC,API,PPT,TWN,TAN
Baseline Subtraction: All
Parameters: IAGA Station ID | Geo. Lon. | Geo. Lat. | Mag. Lon.| Mag. Lat. | MLT | Mag Colat. | Mag. Declination | Solar Zenith Angle | Mag. Field NEZ | Mag. Field Geo.
2000	04	06	11	45	00	60	12
ABG	72.87	18.62	145.26	12.05	16.60	77.95	-1.03	67.58	-16.0	4.7	2.7	-16.0	5.0	2.7
API	188.22	-13.80	-97.52	-15.54	0.41	105.54	11.49	171.91	-23.9	-3.7	0.3	-22.7	-8.4	0.3
ASC	345.62	-7.95	55.96	-10.12	10.64	100.12	-17.31	23.70	-16.1	14.2	3.1	-11.2	18.4	3.1
BIK	136.05	-1.08	-152.41	-9.15	20.75	99.15	2.96	131.53	-15.5	0.2	0.2	-15.5	-0.6	0.2
BNG	18.57	4.33	90.21	-4.91	12.93	94.91	-0.99	14.36	-38.6	-1.5	-13.8	-38.6	-0.9	-13.8
GUA	144.87	13.59	-144.20	6.20	21.30	83.80	1.53	135.89	-28.6	-2.2	0.9	-28.5	-3.0	0.9
HUA	284.67	-12.05	-3.70	0.60	6.67	89.40	-0.45	81.37	-4.2	8.5	3.8	-4.2	8.5	3.8
MBO	343.03	14.38	57.84	0.19	10.77	89.81	-9.48	22.30	5.0	7.9	-5.7	6.2	7.0	-5.7
MUT	121.02	14.37	-167.54	7.11	19.74	82.89	-1.07	113.79	-25.9	1.9	10.4	-25.8	2.4	10.4
PPT	210.42	-17.57	-74.79	-16.58	1.93	106.58	12.58	152.31	-15.2	1.0	-4.1	-15.0	-2.3	-4.1
TAN	47.55	-18.92	116.76	-28.84	14.70	118.84	-14.78	49.68	-18.7	-10.2	1.1	-20.7	-5.1	1.1
TWN	146.82	-19.27	-139.26	-28.29	21.63	118.29	7.82	141.45	-14.5	-5.3	-1.9	-13.6	-7.3	-1.9
2000	04	06	11	46	00	60	12
ABG	72.87	18.62	145.26	12.05	16.61	77.95	-1.03	67.81	-15.9	4.7	1.7	-15.8	5.0	1.7
API	188.22	-13.80	-97.52	-15.54	0.43	105.54	11.49	171.79	-22.9	-3.7	0.3	-21.7	-8.2	0.3
ASC	345.62	-7.95	55.96	-10.12	10.66	100.12	-17.31	23.51	-15.3	14.3	4.0	-10.4	18.3	4.0
BIK	136.05	-1.08	-152.41	-9.15	20.77	99.15	2.96	131.78	-15.1	0.1	0.2	-15.0	-0.7	0.2
BNG	18.57	4.33	90.21	-4.91	12.94	94.91	-0.99	14.61	-37.4	-1.5	-13.7	-37.4	-0.9	-13.7
GUA	144.87	13.59	-144.20	6.20	21.32	83.80	1.53	136.11	-27.5	-2.2	0.9	-27.4	-2.9	0.9
HUA	284.67	-12.05	-3.70	0.60	6.68	89.40	-0.45	81.13	-3.6	8.5	3.8	-3.5	8.5	3.8
MBO	343.03	14.38	57.84	0.19	10.79	89.81	-9.48	22.07	6.2	6.4	-6.5	7.2	5.3	-6.5
MUT	121.02	14.37	-167.54	7.11	19.76	82.89	-1.07	114.02	-25.5	1.7	10.1	-25.5	2.1	10.1
PPT	210.42	-17.57	-74.79	-16.58	1.94	106.58	12.58	152.09	-15.2	1.0	-4.1	-15.0	-2.3	-4.1
TAN	47.55	-18.92	116.76	-28.84	14.71	118.84	-14.78	49.89	-18.6	-10.1	1.2	-20.5	-5.0	1.2
TWN	146.82	-19.27	-139.26	-28.29	21.65	118.29	7.82	141.68	-12.9	-5.7	-2.0	-12.1	-7.4	-2.0
2000	04	06	11	47	00	60	12
ABG	72.87	18.62	145.26	12.05	16.63	77.95	-1.03	68.05	-15.7	4.7	1.8	-15.6	4.9	1.8
API	188.22	-13.80	-97.52	-15.54	0.44	105.54	11.49	171.67	-22.9	-4.7	0.3	-21.5	-9.2	0.3
ASC	345.62	-7.95	55.96	-10.12	10.68	100.12	-17.31	23.31	-16.5	13.9	2.8	-11.6	18.2	2.8
BIK	136.05	-1.08	-152.41	-9.15	20.78	99.15	2.96	132.03	-15.1	-0.0	0.4	-15.1	-0.8	0.4
BNG	18.57	4.33	90.21	-4.91	12.96	94.91	-0.99	14.85	-36.2	-1.5	-13.6	-36.2	-0.9	-13.6
GUA	144.87	13.59	-144.20	6.20	21.33	83.80	1.53	136.33	-27.4	-2.2	0.9	-27.3	-3.0	0.9
HUA	284.67	-12.05	-3.70	0.60	6.70	89.40	-0.45	80.89	-0.9	9.5	3.8	-0.9	9.5	3.8
MBO	343.03	14.38	57.84	0.19	10.80	89.81	-9.48	21.84	8.4	5.0	-6.2	9.1	3.6	-6.2
MUT	121.02	14.37	-167.54	7.11	19.78	82.89	-1.07	114.25	-25.9	1.0	9.7	-25.9	1.5	9.7
PPT	210.42	-17.57	-74.79	-16.58	1.96	106.58	12.58	151.86	-14.0	1.8	-4.2	-14.1	-1.3	-4.2
TAN	47.55	-18.92	116.76	-28.84	14.73	118.84	-14.78	50.10	-18.6	-9.0	1.2	-20.3	-3.9	1.2
TWN	146.82	-19.27	-139.26	-28.29	21.66	118.29	7.82	141.91	-12.8	-5.8	-2.1	-11.9	-7.5	-2.1
2000	04	06	11	48	00	60	12
ABG	72.87	18.62	145.26	12.05	16.65	77.95	-1.03	68.29	-16.5	4.6	2.8	-16.4	4.9	2.8
API	188.22	-13.80	-97.52	-15.54	0.46	105.54	11.49	171.54	-23.9	-3.7	1.3	-22.7	-8.4	1.3
ASC	345.62	-7.95	55.96	-10.12	10.69	100.12	-17.31	23.12	-15.7	14.0	2.7	-10.8	18.1	2.7
BIK	136.05	-1.08	-152.41	-9.15	20.80	99.15	2.96	132.27	-15.7	0.0	1.0	-15.7	-0.8	1.0
BNG	18.57	4.33	90.21	-4.91	12.98	94.91	-0.99	15.10	-36.9	-1.6	-13.5	-37.0	-0.9	-13.5
GUA	144.87	13.59	-144.20	6.20	21.35	83.80	1.53	136.55	-28.3	-2.2	0.9	-28.2	-3.0	0.9
HUA	284.67	-12.05	-3.70	0.60	6.71	89.40	-0.45	80.64	-0.3	9.5	3.8	-0.2	9.5	3.8
MBO	343.03	14.38	57.84	0.19	10.82	89.81	-9.48	21.61	8.7	3.4	-7.0	9.1	1.9	-7.0
MUT	121.02	14.37	-167.54	7.11	19.79	82.89	-1.07	114.49	-26.6	0.4	8.6	-26.6	0.9	8.6
PPT	210.42	-17.57	-74.79	-16.58	1.98	106.58	12.58	151.64	-14.0	1.8	-4.2	-14.1	-1.3	-4.2
TAN	47.55	-18.92	116.76	-28.84	14.75	118.84	-14.78	50.32	-19.7	-8.1	0.2	-21.1	-2.8	0.2
TWN	146.82	-19.27	-139.26	-28.29	21.68	118.29	7.82	142.14	-13.3	-5.8	-2.0	-12.4	-7.6	-2.0
2000	04	06	11	49	00	60	12
ABG	72.87	18.62	145.26	12.05	16.66	77.95	-1.03	68.52	-17.4	4.6	3.8	-17.3	4.9	3.8
API	188.22	-13.80	-97.52	-15.54	0.48	105.54	11.49	171.40	-23.9	-4.7	1.3	-22.5	-9.4	1.3
ASC	345.62	-7.95	55.96	-10.12	10.71	100.12	-17.31	22.93	-15.1	15.1	3.6	-9.9	19.0	3.6
BIK	136.05	-1.08	-152.41	-9.15	20.82	99.15	2.96	132.52	-16.6	0.0	1.4	-16.6	-0.8	1.4
BNG	18.57	4.33	90.21	-4.91	12.99	94.91	-0.99	15.35	-36.7	-0.6	-13.4	-36.8	0.0	-13.4
GUA	144.87	13.59	-144.20	6.20	21.36	83.80	1.53	136.77	-29.2	-2.2	1.8	-29.1	-3.0	1.8
HUA	284.67	-12.05	-3.70	0.60	6.73	89.40	-0.45	80.40	3.3	9.5	3.8	3.4	9.5	3.8
MBO	343.03	14.38	57.84	0.19	10.83	89.81	-9.48	21.38	8.6	3.7	-7.8	9.1	2.2	-7.8
MUT	121.02	14.37	-167.54	7.11	19.81	82.89	-1.07	114.72	-27.4	0.1	7.9	-27.4	0.6	7.9
